String,Ref. Ten. (lbs),Swing Speed,Material,Gauge Nominal (mm),Gauge Acutal (mm),Stretch at 40 lbs (%),Stretch at 51 lbs (%),Stretch at 62 lbs (%),Actual Pre-impact Tension (lbs),Dwell Time (ms),Deflection (mm),Tension Change (lbs),Peak Tension (lbs),Peak Perp. Force (lbs),Ave Perp. Force (lbs),Stiffness (lb/in),Static Loss lbs.,Stabilization Loss (lbs),Impact Loss (lbs).,Total Loss (lbs),Tension Loss (%),Energy Return (%),String/String COF,String/Ball COF,Spin Potential
Alien Black Diamond 16,51,Medium,Polyester,1.3,1.31,3,5.2,5.8,25.42,38.6,27.9,39.9,65.3,22.8,,207.5,8.4,16.9,0.33,25.6,50.5,88.5,0.1,0.453,4.5
Alpha Gut 2000 16,51,Medium,Nylon,1.33,NA,7.6,9.1,10,42.71,36.9,27.1,29.1,71.9,24.4,12.2,161.2,4.32,3.69,-0.02,7.9,15.7,96.4,0.161,0.506,3.1
Ashaway Liberty 16,51,Medium,Nylon,1.3,1.33,NA,NA,11.2,38.61,37,26.9,30.2,68.8,23.1,,169.7,7.19,4.92,0.09,12.1,24,95.5,0.094,0.434,4.6
Ashaway Dynamite Soft 17,51,Medium,Nylon/Zyex,1.25,1.21,8.5,9.1,12.7,36.76,38.9,28,24.5,61.3,21.4,,127.4,6.99,6.97,0.02,13.9,27.6,94.7,0.204,0.527,2.6
Ashaway MonoGut 16L,51,Medium,Polyester,1.27,1.28,1.8,3,4.2,27.45,37.6,27,41,68.4,23.2,,228,8.16,15.11,0.28,23.6,46.4,89.7,0.106,0.366,3.5
Ashaway MonoGut ZX 16,51,Medium,Nylon/Zyex,1.27,NA,7.9,13,17.9,27.36,41.4,29.8,24.9,52.3,19.5,,114.3,8.38,14.98,0.5,23.8,47,93.1,0.088,0.391,4.4
Ashaway Dynamite 17,51,Medium,Nylon/Zyex,1.25,1.26,5.5,7.6,9.7,35.72,38.8,27.9,25.8,61.5,21.4,,135.4,6.62,8.38,0.13,15.2,29.8,92.5,0.138,0.415,3
Ashaway MonoGut 17,51,Medium,Polyester,1.22,1.22,1.8,3.3,4.5,25.78,38.8,28,41,66.8,23.4,,212,8.56,16.38,0.27,25.1,49.7,88.9,0.097,0.378,3.9
Ashaway Dynamite Soft 18,51,Medium,Nylon/Zyex,1.15,1.18,8.5,10.6,13.6,36.78,39.4,28,22.3,59.1,20.7,,114.9,6.24,7.7,0.09,14.1,27.7,92.4,NA,NA,NA
Ashaway Synthetic Gut 16,51,Medium,Nylon,1.3,1.33,NA,NA,10.9,38.76,37,26.9,30.9,69.7,23.4,,173.2,7.36,4.6,0.04,11.9,23.7,95.1,0.097,0.446,4.6
Ashaway Dynamite WB 16,51,Medium,Nylon/Zyex,1.34,1.41,NA,NA,9.1,34.55,39.2,28.1,26.7,61.3,21.5,,137.2,6.17,10,0.17,16.3,32.2,92.9,0.142,0.466,3.3
Babolat FiberTour 16,51,Medium,Nylon,1.3,1.34,6.7,7.6,8.8,39.43,36.9,26.8,29.3,68.8,23.1,,165.7,7.01,4.28,0.05,11.2,22.3,95.8,0.123,0.387,3.1
Babolat Pro Hurricane 18,51,Medium,Polyester,1.2,NA,2.4,3,3.9,32.57,37.2,26.4,36.2,68.8,22.7,,210.9,5.69,12.46,0.31,18.5,36.4,91.4,0.12,0.393,3.3
Babolat Pro Hurricane Tour 16,51,Medium,Polyester,1.3,1.32,1.8,2.4,3.6,27.87,36.8,26.7,45,72.8,24.3,,256.6,8.93,13.92,0.22,23.2,45.5,90.1,0.077,0.396,5.1
Babolat Pro Hurricane 17,51,Medium,Polyester,1.25,1.25,2.4,3.6,4.5,30.1,37.5,27,38.1,68.1,23,,212,7.78,12.84,0.24,20.9,41.1,92,0.122,0.374,3.1
Babolat Pro Hurricane 16,51,Medium,Polyester,1.3,1.3,NA,NA,3.9,31.24,36.7,26.7,39.9,71.2,23.8,,226.9,7.85,11.63,0.24,19.6,38.9,92,NA,NA,NA
Babolat Duralast 16,51,Medium,Polyester,1.3,1.31,1.5,2.7,3.9,26.81,38,27.6,43,69.9,24.1,,230.3,8.14,15.77,0.39,24.3,47.9,89.3,NA,NA,NA
Babolat VS Natural Team Gut 17 (1.25),51,Medium,Gut,1.25,1.27,4.5,6.7,8.5,43.92,37.9,26.7,16.3,60.4,20.1,,93.2,4.9,1.9,0.35,7.1,14.1,97.4,0.147,NA,0
Babolat Xcel Premium 17,51,Medium,Nylon,1.25,1.27,7.3,8.5,9.4,40.95,37.2,26.2,26.7,67.5,22.1,,157.7,5.03,4.74,-0.02,9.7,19.2,95.8,0.12,NA,0
Babolat SG SpiralTek 16,51,Medium,Nylon,1.3,NA,8.2,9.1,10.3,43.84,36.7,27,28.9,72.8,24.6,12.7,160.6,4.1,2.78,0.29,7.1,14.1,95.1,0.09,0.37,4.1
Babolat Xcel 16,51,Medium,Nylon,1.3,1.32,7.3,8.5,9.4,41.52,36.9,26.2,27.3,68.8,22.5,,161.7,5.71,3.49,0.04,9.3,18.2,96.4,0.131,0.397,3
Babolat Duralast 17,51,Medium,Polyester,1.25,1.25,1.5,2.4,3.6,29.37,36.6,26,43.2,72.5,23.6,,258.9,7.5,13.85,0.26,21.6,42.6,88.9,NA,NA,NA
Babolat RPM Team 16 Black,51,Medium,Polyester,1.3,NA,1.5,2.4,3,39.87,33.6,24,43.4,83.3,25.1,,306.3,3.46,7.39,0.09,11,21.6,93.5,0.096,0.374,3.9
Babolat Addiction 17,51,Medium,Nylon,1.25,1.3,7.3,8.8,9.4,40.77,37.2,26.3,27.8,68.4,22.5,,162.3,5.89,4.06,0,9.9,19.6,95.8,0.141,0.363,2.6
Babolat RPM Dual 16,51,Medium,Polyester,1.3,NA,2.7,3.9,4.8,33.49,34,25.1,41,74.5,23.3,12.8,265.2,6.62,10.61,0.11,17.4,34.2,94.9,0.08,0.368,4.6
Babolat Pro Hurricane Tour 17,51,Medium,Polyester,1.25,1.29,1.5,3,3.9,28.44,37.1,26.3,42.3,70.8,23.2,,249.2,8,14.28,0.24,22.5,44.4,88,0.078,0.402,5.2
Babolat Super Fine Play 16,51,Medium,Nylon,1.3,1.34,NA,NA,8.8,40.13,36,26,33.1,73.2,23.8,,198.3,7.5,3.09,0.09,10.6,21,96.2,0.1,0.378,3.8
Babolat Ballistic Polymono 16,51,Medium,Polyester,1.3,1.3,1.8,3.2,3.3,27.78,37,27.1,45.4,73.2,24.8,,250.9,8.07,14.87,0.28,23.2,45.8,88,0.085,0.402,4.7
Babolat Addiction 16,51,Medium,Nylon,1.3,1.33,6.7,7.6,8.5,40.79,36.5,26,30,70.8,23,,180,5.51,4.42,-0.02,9.9,19.5,97.8,0.127,0.391,3.1
Babolat Attraction 16,51,Medium,Nylon/Polyurethane,1.3,1.32,NA,NA,9.4,40.79,36.7,26.2,28.9,69.7,22.7,,170.9,5.6,4.33,0,9.9,19.6,95.3,0.15,0.398,2.7
Babolat VS Natural ThermoGut 16 Touch,51,Medium,Gut,1.3,1.29,NA,NA,8.5,41.72,38.5,27.1,19.2,61.1,20.7,,106.3,5.93,3.07,0.2,9.3,18.1,97.4,0.124,0.34,2.7
Babolat Origin 17,51,Medium,Nylon,1.25,NA,4.5,5.5,6.4,42.27,36,26.1,31.5,73.9,24.1,12.5,187.5,3.53,4.92,0.02,8.4,16.7,97.4,0.066,0.425,6.4
Babolat Revenge 16,51,Medium,Polyester,1.3,NA,1.2,2.4,2.7,32.41,34.9,25.3,47.8,80.3,25.4,,304,6.62,11.69,0.31,18.5,36.7,90.4,NA,NA,NA
Babolat Hurricane Feel 16,51,Medium,Polyester,1.3,NA,1.5,2.4,2.4,35.5,34.8,25.3,43,78.5,24.8,,272.6,5.87,9.35,0.18,15.4,30.3,92.2,0.08,0.379,4.7
Babolat Tonic + Natural Gut 16,51,Medium,Gut,1.35,NA,3.3,6.1,8.2,43.57,38.2,27.2,18.7,62.4,21.2,,103.4,5.07,2.08,0.11,7.3,14.3,96.6,NA,NA,NA
Babolat Xcel Power 17,51,Medium,Nylon,1.25,1.27,6.7,7.6,9.1,40.02,37.7,26.9,27.3,67.3,22.7,,153.2,6.59,4.11,0.02,10.8,21.1,95.3,0.104,0.378,3.6
Babolat RPM Blast 16,51,Medium,Polyester,1.3,1.34,1.8,2.4,3.6,28.03,36.8,26.1,44.8,72.8,23.7,,267.5,8.25,14.44,0.25,22.9,45.2,89.7,0.09,0.406,4.5
Babolat RPM Blast 17/1.25,51,Medium,Polyester,1.25,NA,2.4,3.9,4.8,34.35,35.3,25.4,40.6,75,23.8,12.3,257.2,5.73,10.64,0.17,16.5,32.6,92.2,0.088,0.406,4.6
Babolat Xcel Power 16,51,Medium,Nylon,1.3,1.33,6.1,7.3,8.5,41.45,36.5,26,28.4,69.9,22.7,,170.3,6.17,3.1,0.06,9.3,18.4,97.2,0.109,0.413,3.8
Babolat Hurricane Feel 17,51,Medium,Polyester,1.25,1.26,1.8,2.4,3.3,34.84,35.5,25.8,41.2,76.1,24.5,,252.6,5.98,9.9,-0.04,15.9,31.2,91.6,0.085,0.37,4.4
Babolat Conquest 16,51,Medium,Nylon,1.3,1.32,7,8.5,9.7,35.85,37.5,27.3,32.4,68.4,23.3,,176,8.38,6.49,0.08,15,29.5,93.7,0.097,0.413,4.3
Babolat Revenge 17,51,Medium,Polyester,1.25,1.27,1.8,2.7,3.9,26.55,37.6,27,44.8,71.2,24.1,,249.7,8.71,15.46,0.31,24.5,48.3,88.2,NA,NA,NA
Boris Becker Bomber 16,51,Medium,Polyester,1.28,NA,2.1,3.3,4.5,27.34,37.8,27.3,41,68.4,23.3,,225.2,8.31,15.07,0.39,23.8,46.9,90.1,0.09,0.461,5.1
Boris Becker Bomber 17,51,Medium,Polyester,1.23,1.23,2.4,3.9,5.2,26.92,38.9,28,39.2,66.2,23.2,,203.5,8.16,15.64,0.44,24.3,47.8,87.6,NA,NA,NA
Diadem Solstice Power 16 (1.30),51,Medium,Polyester,1.3,NA,1.8,3,3.6,36.34,36.6,27,40.4,76.7,25.9,12.7,224.6,4.76,9.62,0.2,14.6,28.7,90.4,0.08,0.645,8.1
Diadem Solstice Power 17 (1.20),51,Medium,Polyester,1.2,NA,1.5,2.7,3.3,36.78,36.4,26.9,39.2,76.1,25.6,12.1,220,4.26,9.68,0.24,14.1,28,93.7,0.073,0.626,8.6
Diadem Solstice Pro 16L (1.25),51,Medium,Polyester,0,NA,2.4,3.6,4.5,35.35,37.6,27.9,37.3,72.8,25.4,12.4,194.3,4.37,11,0.27,15.7,30.8,89.1,0.081,0.589,7.3
Double AR 666 (1.30),51,Medium,Nylon,1.3,NA,5.2,6.4,7.9,38.83,37.2,27.7,30.9,69.7,24.1,11.7,162.9,5.58,6.31,0.09,11.9,23.6,95.8,0.085,0.491,5.8
Double AR Diablo (1.31),51,Medium,Polyester,1.31,NA,2.4,4.8,7,23.35,40.1,29.7,39.7,63.1,23.4,10.7,182.9,7.81,19.56,0.42,27.8,54.8,86.1,0.08,0.615,7.7
Double AR Raptor 1.27,51,Medium,Polyester,1.27,NA,1.2,1.8,2.4,39.69,34.8,26,41.9,81.6,26.5,12.8,252.6,3.31,7.72,0.07,11,21.9,93.1,0.098,0.521,5.3
Double AR WTS 25 (1.25),51,Medium,Polyester,1.25,NA,2.7,4.5,7,22.91,40.3,29.8,39.7,62.6,23.4,10.8,181.2,8.67,19.14,0.33,28.2,55.5,86.3,0.077,0.564,7.3
Double AR Twice Dragon(1.30),51,Medium,Polyester,1.3,NA,2.1,4.5,6.4,25.36,39.6,29,39.9,65.3,23.6,11,192,7.36,18,0.27,25.6,50.5,89.9,0.071,0.51,7.2
Double AR Twice Shark (1.25),51,Medium,Polyester,0,NA,NA,7.6,10.6,19.1,42.7,31.4,37.9,57.1,22.4,10.3,156,11.03,20.59,0.42,32,63.2,84.1,0.086,0.494,5.7
Double AR Diablo (1.24),51,Medium,Polyester,1.24,NA,2.4,4.2,6.7,23.35,40.3,29.8,39.7,63.1,23.5,10.9,181.2,8.45,18.92,0.22,27.6,54.4,87,0.084,0.619,7.4
Dunlop Tour Performance 16,51,Medium,Nylon,1.3,1.34,9.1,10.3,11.5,39.73,37.2,26.8,29.1,68.8,23,,165.2,7.01,3.98,0.04,11,21.7,95.5,0.101,0.412,4.1
Dunlop Explosive 16,51,Medium,Polyester,1.3,1.3,1.8,2.4,3,33.05,35.8,26,41.2,74.3,24.1,,248,6.66,11.01,0.24,17.9,35.3,90.2,0.1,0.478,4.8
Dunlop Juice 16 (1.31),51,Medium,Polyester,1.31,1.33,2.1,3.6,4.8,26.59,37.5,27,42.6,69.2,23.4,,237.2,9.33,14.8,0.22,24.3,48,90.1,0.115,0.414,3.6
Dunlop Black Widow 17,51,Medium,Polyester,1.26,NA,1.2,1.5,3,35.19,35.6,26,38.1,73.4,23.8,12.3,230.3,3.92,11.61,0.15,15.7,30.9,89.7,0.107,0.573,5.4
Dunlop Explosive Synthetic 16,51,Medium,Nylon,1.3,1.33,7.3,8.5,9.7,40.64,36.2,26,30.4,71.2,23.1,,183.5,5.84,4.24,0.07,10.1,20,94.5,0.122,0.444,3.6
Dunlop DNA 17 (1.22),51,Medium,Nylon,1.22,1.22,9.1,10.9,12.4,36.69,38.1,27.2,27.1,63.7,21.7,,148.6,5.78,8.25,0.04,14.1,27.7,95.6,0.115,0.476,4.1
Dunlop Hexy Fiber 17,51,Medium,Nylon,1.22,1.32,9.4,11.5,13,38.48,37.5,26.3,26,64.4,21.2,,152.6,6.31,5.93,0.02,12.3,24.2,94.7,0.134,0.499,3.7
Dunlop Comfort Synthetic 16,51,Medium,Nylon,1.3,1.32,7.9,9.4,10,41.01,36.3,26,30.2,71.2,23.1,,181.2,6.42,3.29,0.02,9.7,19.2,94.9,0.11,0.452,4.1
Dunlop Silk 17,51,Medium,Nylon,1.22,1.24,10,11.8,13.6,35.35,38.9,28,26.2,61.5,21.5,,136.6,6.09,9.28,0.03,15.4,30.3,96,0.121,0.423,3.5
Dunlop Silk 16 (1.30),51,Medium,Nylon,1.3,1.31,8.2,9.7,11.2,37.84,37.5,26.6,27.8,65.7,21.8,,159.4,6.28,6.6,0.02,13,25.4,95.5,0.131,0.451,3.4
Dunlop DNA 16 (1.30),51,Medium,Nylon,1.3,1.31,8.2,10,11.5,38.3,37.4,26.4,27.6,65.9,21.7,,161.2,5.91,6.51,0.04,12.3,24.6,95.1,0.116,0.415,3.6
Dunlop Comfort Synthetic 17,51,Medium,Nylon,1.25,1.26,7.6,8.8,9.7,41.41,35.7,25.9,31.1,72.5,23.5,,188.6,5.53,3.78,0.07,9.3,18.5,94.7,NA,NA,NA
Dunlop Comfort Poly 17,51,Medium,Polyester,1.25,1.23,2.1,3,3.9,29.88,36.4,26.2,44.3,74.3,24.3,,262.9,8.18,12.66,0.22,21.2,41.5,89.1,0.089,0.398,4.5
Dunlop M-Fil Tour 16,51,Medium,Nylon,1.3,1.34,8.8,9.1,10,39.27,37.1,26.9,29.5,68.8,23.2,,165.7,6.9,4.55,0.07,11.5,22.7,95.5,0.1,0.425,4.3
Dunlop Black Widow 16,51,Medium,Polyester,1.31,NA,2.1,3.6,4.5,31.82,36.7,26.1,36.8,68.6,22.3,11.9,220,5.56,13.34,0.2,19.2,37.7,91.2,0.107,0.557,5.2
Dunlop Juice 17 (1.26),51,Medium,Polyester,1.26,1.26,2.4,3.6,4.5,27.47,38,27.7,39.9,67.5,23.3,,212,8.6,14.65,0.3,23.6,46.4,89.5,0.107,0.416,3.9
Dunlop Explosive Synthetic Gut 17,51,Medium,Nylon,1.25,1.3,7,8.2,9.1,41.78,35.9,25.9,29.3,71,23,,177.2,5.82,3.12,0.06,9,17.7,95.8,NA,NA,NA
Dunlop Explosive Poly Max 16,51,Medium,Nylon/Polyester,1.3,1.31,7.6,8.8,10,39.14,36.9,26,29.5,68.8,22.4,,177.7,5.45,6.13,0.05,11.7,22.9,94.9,0.135,0.453,3.4
Dunlop Hexy Fiber 16,51,Medium,Nylon,1.3,1.38,9.4,10.9,12.1,38.26,37.6,26.8,26,64.4,21.6,,146.9,6.26,6.2,0.03,12.6,24.6,95.1,0.124,0.446,3.6
Dunlop Synthetic Gut 16,51,Medium,Nylon,1.3,1.34,NA,NA,10.3,39.51,36.7,26.2,30.4,69.9,22.8,,180,7.63,3.58,0.04,11.2,22.2,94.7,0.111,0.431,3.9
Dunlop S-Gut 17,51,Medium,Nylon/Polyurethane,1.22,1.25,9.7,10.6,11.8,40.29,36.6,26,28.7,69,22.4,,172,6.7,3.73,0.07,10.6,20.7,94.5,0.129,0.406,3.1
Dunlop X-Life Synthetic 15L,51,Medium,Nylon,1.4,1.4,7.9,9.4,10.3,39.87,36.6,26,30.4,70.3,22.9,,183.5,6.9,3.95,0.05,10.8,21.5,93.9,0.107,0.379,3.5
Forten Sweet 16,51,Medium,Nylon,1.3,NA,7.6,9.1,10,39.6,36.1,26,31.8,71.2,23.2,,190.9,6.48,4.64,0.09,11.2,22.1,94.7,0.122,0.412,3.4
Gamma TNT2 Touch 16,51,Medium,Nylon,1.32,NA,6.4,8.2,9.7,37.82,37.1,26.2,29.5,67.5,22.1,,174.3,6.09,6.81,0.07,13,25.6,93.9,0.125,0.42,3.4
Gamma Zo Verve 17,51,Medium,Polyester,1.25,NA,1.5,2.1,3,38.26,34.8,25.5,40.1,78.5,25,12.9,252,3.22,9.24,0.11,12.6,24.8,94.3,0.082,0.502,6.1
Gamma Poly Z 16,51,Medium,Polyester,1.3,NA,2.1,2.4,5.5,25.07,38.9,28.2,41.7,66.6,23.5,11,213.2,7.3,18.35,0.37,26,51.3,88.2,0.074,0.396,5.4
Gamma TNT2 Pro Plus 16,51,Medium,Nylon,1.3,1.37,NA,NA,12.4,38.1,37.2,26.8,29.1,67.3,22.5,,164.6,8.11,4.51,0.11,12.8,25.1,94.7,0.141,0.441,3.1
Gamma Zo Tour 16,51,Medium,,1.3,1.33,1.8,2.7,4.2,24.83,38,27.9,44.8,69.7,24.3,,233.2,9.75,16.14,0.4,26.2,51.8,87.2,0.11,0.422,3.8
Gamma ESP 16,51,Medium,Nylon,1.32,1.31,NA,NA,10.6,37.29,37.2,27,28.9,66.2,22.3,,160.6,7.32,6.11,0,13.5,26.5,94.3,0.159,0.419,2.6
Gamma Live Wire XP 16,51,Medium,Nylon/Zyex,1.32,1.3,NA,7.9,9.1,38.57,37.3,27,29.1,67.7,22.9,,162.3,6.62,5.53,0.07,12.1,24.1,94.3,0.15,0.384,2.6
Gamma Prodigy 16,51,Medium,Nylon,1.32,1.31,NA,NA,10.3,40.29,36.6,26.1,29.5,69.9,22.8,,176,6.55,3.88,0.07,10.6,20.7,95.5,0.111,0.39,3.5
Gamma Zo Power 16L,51,Medium,Polyester,1.25,1.27,2.1,3.9,5.2,22.82,39,28,42.3,65,22.8,,219.5,9.99,17.91,0.46,28.4,55.9,87.6,0.132,0.383,2.9
Gamma Zo Black Ice 17 (1.23),51,Medium,Polyester,1.23,1.23,2.4,3.6,4.5,30.23,36.8,26.1,41,71.2,23.3,,244.6,8.09,12.4,0.22,20.7,40.8,90.8,0.11,0.402,3.7
Gamma Zo Ice 16,51,Medium,Polyester,1.27,1.27,1.5,NA,3,32.02,36.3,26,42.8,74.7,24.3,,256.6,6.68,12.02,0.27,19,37.4,90.4,0.102,0.43,4.2
Gamma WearGuard Synthetic Gut 16,51,Medium,Nylon,1.3,1.31,NA,NA,9.1,39.95,36.6,26,30,69.9,22.7,,178.9,6.62,4.15,0.06,10.8,21.3,92.9,0.13,0.363,2.8
Gamma Professional 17,51,Medium,Nylon,1.27,NA,7.6,9.4,10.6,39.36,37.2,27,27.3,66.8,22.5,12.7,153.2,4.72,6.64,0.07,11.5,22.5,96.8,0.138,0.393,2.8
Gamma Professional Spin 16,51,Medium,Nylon/Zyex,1.35,1.4,NA,NA,9.4,39.14,36.6,26.1,30,69,22.5,,179.5,7.28,4.3,0.05,11.7,22.9,95.1,0.149,0.395,2.7
Gamma Professional 16,51,Medium,Nylon/Zyex,1.32,1.33,7.3,8.8,9.7,38.39,37.8,27.1,27.8,66.2,22.4,,152.6,6.46,5.87,0.07,12.3,24.4,93.9,0.165,0.402,2.4
Gamma Live Wire 16,51,Medium,Nylon/Zyex,1.32,1.31,NA,NA,9.7,36.18,37.5,27,30,66.2,22.3,,166.3,8.09,6.45,0.04,14.6,28.7,95.5,0.145,0.381,2.6
Gamma TNT2 16,51,Medium,Nylon,1.32,1.29,7.6,8.5,9.7,40.04,36.5,26.1,30.9,71,23.1,,185.2,6.73,3.95,0.02,10.8,21.1,94.3,0.125,0.399,3.2
Gamma Synthetic Gut 16,51,Medium,Nylon,1.3,1.32,NA,NA,7.9,39.36,36.2,26,33.5,72.8,23.7,,200.6,7.43,3.93,0.09,11.5,22.6,95.5,0.113,0.402,3.6
Gamma Zo Tour Rough 16,51,Medium,Polyester,1.28,1.32,2.7,4.8,6.7,26.57,38.5,28,39,65.5,22.9,,202.3,9.33,14.82,0.31,24.5,48.2,90.1,0.083,0.505,6.1
Gamma Glide Cross String 16,51,Medium,Nylon,1.3,NA,6.7,8.2,9.7,39.93,38.1,28,26,65.9,23,11.7,134.3,3.24,7.55,0.15,11,21.6,96.4,0.115,0.363,3.2
Gamma Zo Black Ice 18 (1.18),51,Medium,Polyester,1.18,1.18,3,3.6,5.2,30.96,36.9,26.2,39.5,70.3,23.1,,233.7,8.25,11.51,0.02,19.8,39,91.4,0.108,0.431,4
Gamma Zo Magic 16,51,Medium,Polyester,1.27,1.28,1.8,2.4,3,34.16,35.3,25.2,43.2,77.4,24.4,,276.6,6.37,10.19,0.18,16.8,33,92.7,0.097,0.395,4.1
